ts_code,industry,market,list_date
688041.SH,半导体,科创板,20220812
688065.SH,化工原料,科创板,20200812
688111.SH,软件服务,科创板,20191118
688126.SH,半导体,科创板,20200420
688169.SH,家用电器,科创板,20200221
688187.SH,运输设备,科创板,20210907
688223.SH,电气设备,科创板,20220126
688256.SH,半导体,科创板,20200720
688271.SH,医疗保健,科创板,20220822
688303.SH,电气设备,科创板,20210722
688363.SH,医疗保健,科创板,20191106
688396.SH,半导体,科创板,20200227
688561.SH,软件服务,科创板,20200722
688599.SH,电气设备,科创板,20200610
688981.SH,半导体,科创板,20200716
